"Клиент Имя Фамилия (e-17318627), период 01.05.2023 - 17.06.2023"
"Всего по поисковым запросам";;"Ср.расход за день (руб.)";"Показы";"Клики";"CTR (%)";"Расход (руб.)";"Ср. цена клика (руб.)";"Ср. позиция показов";"Отказы (%)";"Конверсия (%)";"Цена цели (руб.)";"Конверсии"
"с 01.05.2023 по 17.06.2023";;1578,24;3560;369;10,37;56816,76;153,97;2,88;26,32;1,63;9469,46;6
"Другие поисковые запросы";;-;2;0;0,00;0,00;-;3,00;-;-;-;-

"Поисковый запрос";"Кампания";"№ Кампании";"Группа";"№ Группы";"Условие показа";"Тип условия показа";"Тип соответствия";"Подобранная фраза";"Категория таргетинга";"Показы";"Клики";"CTR (%)";"Расход (руб.)";"Ср. цена клика (руб.)";"Ср. позиция показов";"Отказы (%)";"Конверсия (%)";"Цена цели (руб.)";"Конверсии"
"lenovo thinksystem de240s";"Lenovo СХД Россия";88682372;"Lenovo ThinkSystem DE240S - 5496689671151338878";5210268993;"Lenovo ThinkSystem DE240S -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";3;1;33,33;61,13;61,13;1,67;0,00;-;-;-
"lenovo thinksystem de240s expansion enclosure rack 2u 7y68a000ww вес";"Lenovo СХД Москва";88644763;"Lenovo ThinkSystem DE240S - 5496689671151338878";5209699427;"Lenovo ThinkSystem DE240S -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;1;100,00;75,06;75,06;2,00;100,00;-;-;-
"lenovo thinksystem de4000h совместимые модули sfp";"Lenovo СХД Россия";88682372;"Lenovo ThinkSystem DE4000H";5210269001;"lenovo thinksystem de4000h -цена";"фраза";"пословное";-;"Альтернативные запросы";2;1;50,00;125,82;125,82;1,50;100,00;-;-;-
"lenovo thinksystem de6000h hybrid flash array 4u60";"Lenovo СХД Москва";88644763;"Lenovo ThinkSystem DE6000H - 520644565717883098";5209699416;"Lenovo ThinkSystem DE6000H -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";2;1;50,00;80,80;80,80;1,00;0,00;-;-;-
"lenovo thinksystem sn550 v2";"Сервера Lenovo Москва";87622199;"Lenovo SN550 V2";5192409068;"Lenovo ThinkSystem SN550 V2 -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";2;1;50,00;17,16;17,16;5,50;0,00;-;-;-
"lenovo thinksystem sr250";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR250 - 8851782002052089839";5192335014;"Lenovo ThinkSystem SR250 -Rack -V2 -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;1;100,00;107,50;107,50;2,00;0,00;-;-;-
"lenovo thinksystem sr250";"Сервера Lenovo ЦФО";87636764;"Lenovo ThinkSystem SR250 - 8851782002052089839";5192441842;"Lenovo ThinkSystem SR250 -Rack -V2 -Купить -Цена";"фраза";"пословное";-;"Целевые запросы";1;1;100,00;327,49;327,49;2,00;0,00;-;-;-
"lenovo thinksystem sr250";"Сервера Lenovo Красноярск, Новосибирск, Омск";87795203;"Lenovo ThinkSystem SR250 - 8851782002052089839";5194661665;"Lenovo ThinkSystem SR250 -Rack -V2 -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;1;100,00;21,80;21,80;2,00;0,00;-;-;-
"lenovo thinksystem sr250 v2";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR250 V2";5192409067;"Lenovo ThinkSystem SR250 V2 -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";7;1;14,29;117,05;117,05;2,43;0,00;-;-;-
"lenovo thinksystem sr250 v2 7d7qa016ea";"Сервера Lenovo Поволжье";87672026;"Lenovo ThinkSystem SR250 V2";5192968581;"Lenovo ThinkSystem SR250 V2 -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";3;1;33,33;52,12;52,12;2,00;50,00;-;-;-
"lenovo thinksystem sr250 v2 server бп";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR250 V2";5192409067;"Lenovo ThinkSystem SR250 V2 -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;1;100,00;99,49;99,49;1,00;0,00;-;-;-
"lenovo thinksystem sr250 фото";"Сервера Lenovo ЦФО";87636764;"Lenovo ThinkSystem SR250 - 8851782002052089839";5192441842;"Lenovo ThinkSystem SR250 -Rack -V2 -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;1;100,00;83,84;83,84;1,00;100,00;-;-;-
"lenovo thinksystem sr530";"Сервера Lenovo ЦФО";87636764;"Lenovo ThinkSystem SR530 - 5815338548928577995";5192441827;"Lenovo ThinkSystem SR530 -Rack -Купить -Цена";"фраза";"пословное";-;"Целевые запросы";2;1;50,00;85,84;85,84;2,00;50,00;-;-;-
"lenovo thinksystem sr530";"Сервера Lenovo СП-б";87670033;"Lenovo ThinkSystem SR530 - 5815338548928577995";5192946182;"Lenovo ThinkSystem SR530 -Rack -Купить -Цена";"фраза";"пословное";-;"Целевые запросы";4;1;25,00;135,63;135,63;1,75;0,00;-;-;-
"lenovo thinksystem sr530";"Сервера Lenovo Северо-Запад";87670802;"Lenovo ThinkSystem SR530 - 5815338548928577995";5192956555;"Lenovo ThinkSystem SR530 -Rack -Купить -Цена";"фраза";"пословное";-;"Целевые запросы";1;1;100,00;320,56;320,56;2,00;100,00;-;-;-
"lenovo thinksystem sr530";"Сервера Lenovo Сибирь";87794735;"Lenovo ThinkSystem SR530 - 5815338548928577995";5194659685;"Lenovo ThinkSystem SR530 -Rack -Купить -Цена";"фраза";"пословное";-;"Целевые запросы";2;1;50,00;59,69;59,69;2,00;0,00;-;-;-
"lenovo thinksystem sr530 7x08a0aeea 1 x xeon silver 4210r 2.4 ггц 16 гб ddr4";"Сервера Lenovo СП-б";87670033;"Lenovo ThinkSystem SR530 - 5815338548928577995";5192946182;"Lenovo ThinkSystem SR530 -Rack -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;1;100,00;41,83;41,83;2,00;0,00;-;-;-
"lenovo thinksystem sr530 7x08s9vv00 1";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR530 - 5815338548928577995";5192334999;"Lenovo ThinkSystem SR530 -Rack -Купить -Цена";"фраза";"пословное";-;"Целевые запросы";4;1;25,00;139,36;139,36;2,75;0,00;-;-;-
"lenovo thinksystem sr530 жесткий диск";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR530 - 5815338548928577995";5192334999;"Lenovo ThinkSystem SR530 -Rack -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;1;100,00;36,13;36,13;1,00;0,00;-;-;-
"lenovo thinksystem sr530 купить";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR530 - 5815338548928577995";5192334999;"Купить Lenovo ThinkSystem SR530";"фраза";"пословное";-;"Целевые запросы";1;1;100,00;186,90;186,90;2,00;0,00;-;-;-
"lenovo thinksystem sr530 оперативка";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR530 - 5815338548928577995";5192334999;"Lenovo ThinkSystem SR530 -Rack -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;1;100,00;35,41;35,41;2,00;0,00;-;-;-
"lenovo thinksystem sr570 цена";"Сервера Lenovo СП-б";87670033;"Lenovo ThinkSystem SR570 - 7941690042478765188";5192946190;"Цена Lenovo ThinkSystem SR570";"фраза";"пословное";-;"Альтернативные запросы";1;1;100,00;64,36;64,36;1,00;0,00;-;-;-
"lenovo thinksystem sr630 2xintel xeon 6248";"Сервера Lenovo Москва";87622199;"Lenovo SR630";5192409062;"lenovo thinksystem SR630 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";2;1;50,00;105,35;105,35;1,50;100,00;-;-;-
"lenovo thinksystem sr630 host 1 avk gdz";"Сервера Lenovo ЦФО";87636764;"Lenovo SR630";5192441848;"lenovo thinksystem SR630 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;1;100,00;77,07;77,07;2,00;0,00;-;-;-
"lenovo thinksystem sr630 model 7x02 ct01ww";"Сервера Lenovo Москва";87622199;"Lenovo SR630";5192409062;"lenovo thinksystem SR630 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";2;1;50,00;92,82;92,82;2,00;100,00;-;-;-
"lenovo thinksystem sr630 st1200mm0129";"Сервера Lenovo Юг";87673229;"Lenovo SR630";5192986674;"lenovo thinksystem SR630 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;1;100,00;31,87;31,87;2,00;0,00;-;-;-
"lenovo thinksystem sr630 v2 7z71sjd000";"Сервера Lenovo Москва";87622199;"Lenovo SR630 V2";5192409061;"lenovo thinksystem sr630 V2 -Rack -Купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";3;1;33,33;220,79;220,79;2,33;-;-;-;-
"lenovo thinksystem sr630 купить";"Сервера Lenovo Москва";87622199;"Lenovo SR630";5192409062;"Купить Lenovo ThinkSystem SR630 -V2 -V3";"фраза";"пословное";-;"Альтернативные запросы";1;1;100,00;168,57;168,57;2,00;100,00;-;-;-
"lenovo thinksystem sr650";"Сервера Lenovo ЦФО";87636764;"Lenovo SR650";5192441845;"lenovo thinksystem sr650 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";6;1;16,67;37,99;37,99;2,00;0,00;-;-;-
"lenovo thinksystem sr650";"Сервера Lenovo СП-б";87670033;"Lenovo SR650";5192946200;"lenovo thinksystem sr650 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";8;1;12,50;157,91;157,91;1,62;0,00;-;-;-
"lenovo thinksystem sr650";"Сервера Lenovo Поволжье";87672026;"Lenovo SR650";5192968573;"lenovo thinksystem sr650 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";7;1;14,29;142,37;142,37;2,57;100,00;-;-;-
"lenovo thinksystem sr650";"Сервера | Lenovo | Краснодар, Ростов-на-Дону";87673348;"Lenovo SR650";5192987682;"lenovo thinksystem sr650 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";1;1;100,00;139,38;139,38;2,00;0,00;-;-;-
"lenovo thinksystem sr650";"Сервера Lenovo Екатеринбург, Челябинск";87795663;"Lenovo SR650";5194664985;"lenovo thinksystem sr650 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";3;1;33,33;161,77;161,77;2,67;100,00;-;-;-
"lenovo thinksystem sr650 4210r 32gb ddr4 16gb";"Сервера Lenovo Москва";87622199;"Lenovo SR650";5192409059;"lenovo thinksystem sr650 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;1;100,00;104,48;104,48;2,00;0,00;-;-;-
"lenovo thinksystem sr650 7x06a0b4ea техническое задание";"Сервера Lenovo Москва";87622199;"Lenovo SR650";5192409059;"lenovo thinksystem sr650 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";4;1;25,00;219,02;219,02;3,50;0,00;-;-;-
"lenovo thinksystem sr650 v2";"Сервера Lenovo Москва";87622199;"Lenovo SR650 V2";5192409060;"lenovo thinksystem sr650 V2 -Rack -Купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";10;1;10,00;147,52;147,52;2,30;0,00;-;-;-
"lenovo thinksystem sr650 v2";"Сервера Lenovo ЦФО";87636764;"Lenovo SR650 V2";5192441846;"lenovo thinksystem sr650 V2 -Rack -Купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;1;100,00;95,36;95,36;2,00;0,00;-;-;-
"lenovo thinksystem sr650 v2 rack 2u";"Сервера Lenovo СП-б";87670033;"Lenovo SR650 V2";5192946201;"Lenovo ThinkSystem SR650 V2 Rack";"фраза";"пословное";-;"Альтернативные запросы";1;1;100,00;203,09;203,09;2,00;0,00;100,00;203,09;1
"lenovo thinksystem sr650 v2 sr650v2 6342 24x32g 720g";"Сервера Lenovo Москва";87622199;"Lenovo SR650 V2";5192409060;"lenovo thinksystem sr650 V2 -Rack -Купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;1;100,00;448,38;448,38;2,00;0,00;-;-;-
"lenovo thinksystem sr650 v3 datasheet";"Сервера Lenovo Москва";87622199;"Lenovo SR650 V3";5192409064;"lenovo thinksystem sr650 V3 -Rack -Купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";3;1;33,33;117,75;117,75;1,00;0,00;-;-;-
"lenovo thinksystem sr650 v3 цена";"Сервера Lenovo Москва";87622199;"Lenovo SR650 V3";5192409064;"Цена Lenovo ThinkSystem SR650 V3";"фраза";"пословное";-;"Альтернативные запросы";1;1;100,00;47,70;47,70;2,00;0,00;-;-;-
"lenovo thinksystem sr650 vs sr590";"Сервера Lenovo Москва";87622199;"Lenovo SR650";5192409059;"lenovo thinksystem sr650 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;1;100,00;401,00;401,00;1,00;0,00;-;-;-
"lenovo thinksystem sr650 купить";"Сервера Lenovo ЦФО";87636764;"Lenovo SR650";5192441845;"Купить Lenovo ThinkSystem SR650 -V2 -V3";"фраза";"пословное";-;"Целевые запросы";1;1;100,00;65,55;65,55;2,00;100,00;-;-;-
"lenovo thinksystem sr650 цена";"Сервера Lenovo Москва";87622199;"Lenovo SR650";5192409059;"Цена Lenovo ThinkSystem SR650 -V2 -V3 -сервер";"фраза";"пословное";-;"Целевые запросы";2;1;50,00;40,05;40,05;3,00;0,00;-;-;-
"lenovo thinksystem st250 8fss";"Сервера Lenovo Юг";87673229;"Lenovo ThinkSystem ST250 - 3940901538505491239";5192986645;"Lenovo ThinkSystem ST250 -Tower -V2 -Купить -Цена";"фраза";"пословное";-;"Целевые запросы";1;1;100,00;76,47;76,47;2,00;100,00;-;-;-
"lenovo thinksystem st50";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem ST50 - 2070541473539004687";5192334982;"Lenovo ThinkSystem ST50 -Tower -V2 -Купить -Цена";"фраза";"пословное";-;"Целевые запросы";6;1;16,67;20,19;20,19;3,33;100,00;-;-;-
"lenovo thinksystem st50";"Сервера Lenovo ЦФО";87636764;"Lenovo ThinkSystem ST50 - 2070541473539004687";5192441810;"Lenovo ThinkSystem ST50 -Tower -V2 -Купить -Цена";"фраза";"пословное";-;"Целевые запросы";7;1;14,29;6,33;6,33;1,57;-;-;-;-
"lenovo thinksystem st50";"Сервера Lenovo Москва Н-Н";87673030;"Lenovo ThinkSystem ST50 - 2070541473539004687";5192984855;"Lenovo ThinkSystem ST50 -Tower -V2 -Купить -Цена";"фраза";"пословное";-;"Целевые запросы";1;1;100,00;34,49;34,49;1,00;0,00;-;-;-
"lenovo thinksystem st50 7y48a03eea 1 x intel xeon e 2224g 3.5 ггц 8 гб ddr4 2000 тб 1 x 250 вт рекомендации";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem ST50 - 2070541473539004687";5192334982;"Lenovo ThinkSystem ST50 -Tower -V2 -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";2;1;50,00;24,47;24,47;5,00;100,00;-;-;-
"lenovo thinksystem st50 купить";"Сервера Lenovo Поволжье";87672026;"Lenovo ThinkSystem ST50 - 2070541473539004687";5192968538;"Купить Lenovo ThinkSystem ST50 -V2";"фраза";"пословное";-;"Целевые запросы";1;1;100,00;59,90;59,90;1,00;0,00;-;-;-
"lenovo thinksystem st50 купить";"Сервера Lenovo Сибирь";87794735;"Lenovo ThinkSystem ST50 - 2070541473539004687";5194659668;"Купить Lenovo ThinkSystem ST50 -V2";"фраза";"пословное";-;"Целевые запросы";1;1;100,00;72,62;72,62;1,00;0,00;-;-;-
"lenovo thinksystem st50 цена";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem ST50 - 2070541473539004687";5192334982;"Цена Lenovo ThinkSystem ST50 -V2";"фраза";"пословное";-;"Целевые запросы";1;1;100,00;44,37;44,37;1,00;0,00;-;-;-
"lenovo схд";"Lenovo СХД Россия";88682372;"Lenovo ThinkSystem СХД";5210269000;"СХД Lenovo -DE120S -DE240S -DE4000 -DE4000F -DE4000H -DE6000 -DE6000F -DE6000H -DE600S -DE6400F -DE6400H -DE6600F -DE6600H -DM120S -DM240S -DM3000H -DM5000 -DM5000F -DM5000H -DM5100F -DM7100F -DM7100H -Купить -Цена";"фраза";"пословное";-;"Широкие запросы";2;1;50,00;32,53;32,53;3,50;-;-;-;-
"ltv sr250 34z 80 r6 ir wi купить";"Сервера Lenovo Сибирь";87794735;"Lenovo ThinkSystem SR250 - 8851782002052089839";5194659700;"Купить SR250 -Lenovo -V2";"фраза";"пословное";-;"Альтернативные запросы";5;1;20,00;132,95;132,95;1,00;0,00;-;-;-
"megmeet dex dm3000 купить";"Lenovo СХД Россия";88682372;"Lenovo ThinkSystem DM3000H - 8003386787876592573";5210268996;"Купить DM3000 -Lenovo";"фраза";"пословное";-;"не определена";1;1;100,00;81,05;81,05;1,00;100,00;-;-;-
